index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
336,"$350,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of Latin American descent; Students,Public engagement and education; Program support,Cash grants,"United Negro College Fund, Inc.","Washington, DC United States",EXCELENCIA IN EDUCATION,"Washington, DC United States",BUILDING A COMMUNITY OF PRACTICE TO LEVERAGE BIG DATA GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
337,"$350,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Warren & Katharine Schlinger Foundation,"Laguna Niguel, CA United States",Human Outreach Project,"Midvale, UT United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
338,"$347,500",2021,"Arts, Culture & Hum Professional Societies & Assns",1 year,,"Journalism, news and information; Journalism, news, and information, general",People of African descent,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",National Association of Black Journalists,"College Park, MD United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
339,"$344,250",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,Indianapolis Foundation,"Indianapolis, IN United States",Northwestern University,"Evanston, IL United States",Northwestern University Medill School of Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
340,"$343,332",2021,,1 year,,"Media Content and Platforms; Web-based media; Print; Journalism, news and information; Journalism, news, and information, general",Not Specified,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Vermont Journalism Trust,"Montpelier, VT United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
341,"$341,706",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Baton Rouge Area Foundation,"Baton Rouge, LA United States",The Greater New Orleans Foundation,"New Orleans, LA United States","HURRICANE RELIEF, JOURNALISM & LGBTQ FUNDS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
342,"$340,575",2021,,1 year,,"Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",Activists; Victims and oppressed people,Not Specified,Cash grants,INTERNEWS NETWORK,"Washington, DC United States",Operator Foundation,"Austin, TX United States",MEDIA DEVELOPMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
343,"$335,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Wisconsin Center for Investigative Journalism,"Madison, WI United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
344,"$335,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,Fellowships; Outreach,Cash grants,California Physicians' Service Foundation DBA Blue Shield of California Foundation,"San Francisco, CA United States",American Pharmacists Association Academy of Student Pharmacists,"Los Angeles, CA United States",CALIFORNIA HEALTH JOURNALISM FELLOWSHIP,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
345,"$333,333",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",TIDES FOUNDATION,"San Francisco, CA United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
346,"$329,000",2021,Information Program,2 years,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support; Research; Network-building and collaboration; Advocacy,Cash grants,Open Society Foundation,"New York City, NY United States",London School of Economics & Political Science,"London, United Kingdom","to support the Department of Media and Communications on the Justice, Equity and Technology Table project on data-driven law enforcement in Europe, benefiting the general public and civil society across Europe through the program’s research, network-building and advocacy work contributing to progressive social change",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
347,"$327,000",2021,Civic engagement,2 years,,"Journalism, news and information; Investigative journalism; Constituency journalism; Advocacy journalism",Adults; Children and youth,Recordings and broadcasts; Public engagement and education,Cash grants,Otto Bremer Trust,"St Paul, MN United States",Friends of PBS Wisconsin Inc,"Madison, WI United States","For a multi-year media project expanding journalistic coverage of rural issues while building on the success of a youth media program and PBS Newshour Student Reporting Labs, adding youth rural stories to our own reporting.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
348,"$325,855",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Program support; General support,Cash grants,Give Back Foundation,"Madison, WI United States","National Public Radio, Inc.","Washington, DC United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
349,"$325,000",2021,Public Engagement,1 year,Fuller Project Support 2021-2022,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Investigative journalism",Women and girls,General support,Cash grants,Humanity United,"San Francisco, CA United States",Fuller Project for International Reporting Inc,"Washington, DC United States",For unrestricted general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
350,"$316,700",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Civic News Company,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
351,"$316,250",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Students; Ethnic and racial groups; Military personnel; Veterans,General support,Cash grants,San Diego Foundation,"San Diego, CA United States",inewsource,"San Diego, CA United States",FOR GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
352,"$315,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Program support,Cash grants,Luminate Foundation Inc,"Washington, DC United States",openDemocracy Limited,"London, United Kingdom",To producing agenda-setting investigative journalism that educates citizens and promotes democratic debate.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
353,"$315,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,The Ronald P and Susan E Lynch Foundation C/o Milton Kain,"New York City, NY United States",Connecticut College,"New London, CT United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
354,"$312,790",2021,,1 year,,"Media Content and Platforms; Radio; Web-based media; Mobile media; Journalism, news and information; Journalism, news, and information, general",Adults,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",CAPITAL PUBLIC RADIO INC,"Sacramento, CA United States",RFSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
355,"$310,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,The 85 Fund,"Fort Worth, TX United States",National Review Institute,"New York City, NY United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
356,"$302,923",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,"Policy, advocacy and systems reform",Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",National Review Institute,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
357,"$300,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,Not Specified,Cash grants,City Fund,"Beaverton, OR United States",The 74 Media Inc,"New York City, NY United States",COMMUNICATIONS SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
