index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
2995,"$10,000",2021,Film/Video,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",Adolescents; Adults; At-risk youth,General support,Cash grants,THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION,"Washington, DC United States",Docs In Progress,"Silver Spring, MD United States",General support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2996,"$10,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Peter Jennings Foundation Inc,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2997,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,The Rose and David Dortort Foundation C/o California Community Foundation,"Los Angeles, CA United States",American Society of Journalists and Authors Charitable Trust,"New York City, NY United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2998,"$10,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support; Public engagement and education,Cash grants,The Sheila Dave & Sherry Gold Foundation Co Jeff Gold,"Studio City, CA United States",Freedom of the Press Foundation,"Brooklyn, NY United States","Support to protect, defend, and empower public-interest journalism.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2999,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States",Magnum Cultural Foundation,"New York City, NY United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3000,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",Humane Action Pittsburgh,"Pittsburgh, PA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3001,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,William M Backer Foundation Inc,"The Plains, VA United States",Piedmont Journalism Foundation,"Warrenton, VA United States",CHARITABLE PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3002,"$9,925",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Not Specified,Cash grants,Fund for Investigative Journalism Inc,"Washington, DC United States",Midwest Center for Investigative Reporting Inc,"Champaign, IL United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3003,"$9,910",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults,Program support,Cash grants,Jewish Community Federation of San Francisco the Peninsula Marin & Sonoma,"San Francisco, CA United States",HONESTREPORTING USA,"New York City, NY United States",PUBLIC/SOCIETY BENEFIT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3004,"$9,883",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,General support,Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",Cityside Journalism Initiative,"Berkeley, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
